id,hostname,ip,os,cpu,ram_gb,disk_gb,status,uptime_days
0,server-0000,192.168.98.157,CentOS 8,8,4,2000,maintenance,150
1,server-0001,192.168.80.143,CentOS 8,4,16,500,offline,351
2,server-0002,192.168.63.230,Windows Server 2022,32,8,500,online,75
3,server-0003,192.168.102.85,CentOS 8,8,32,500,online,9
4,server-0004,192.168.105.2,Debian 12,32,4,2000,offline,9
5,server-0005,192.168.186.94,Windows Server 2022,2,32,1000,online,165
6,server-0006,192.168.255.173,Ubuntu 22.04,4,64,500,online,80
7,server-0007,192.168.171.64,Windows Server 2022,32,16,500,online,148
8,server-0008,192.168.193.206,Ubuntu 22.04,4,32,100,maintenance,198
9,server-0009,192.168.64.233,Windows Server 2022,32,4,500,maintenance,256
10,server-0010,192.168.156.87,Debian 12,32,64,2000,online,358
11,server-0011,192.168.217.108,Debian 12,16,8,100,offline,14
12,server-0012,192.168.111.6,Debian 12,8,4,1000,offline,348
13,server-0013,192.168.73.2,Windows Server 2022,8,4,100,online,138
14,server-0014,192.168.115.17,Windows Server 2022,2,16,1000,online,279
15,server-0015,192.168.252.230,Ubuntu 22.04,2,16,1000,online,109
16,server-0016,192.168.17.205,CentOS 8,2,4,100,online,196
17,server-0017,192.168.181.70,CentOS 8,2,64,1000,maintenance,23
18,server-0018,192.168.61.91,Ubuntu 22.04,32,4,2000,offline,222
19,server-0019,192.168.21.248,Ubuntu 22.04,2,64,500,online,143
20,server-0020,192.168.188.17,Windows Server 2022,4,32,2000,online,71
21,server-0021,192.168.28.68,CentOS 8,4,32,500,maintenance,303
22,server-0022,192.168.216.39,Windows Server 2022,32,16,500,online,199
23,server-0023,192.168.206.76,Ubuntu 22.04,8,8,100,offline,162
24,server-0024,192.168.132.10,Ubuntu 22.04,32,8,500,online,254
25,server-0025,192.168.117.96,Debian 12,2,64,500,online,142
26,server-0026,192.168.70.227,CentOS 8,32,8,500,offline,131
27,server-0027,192.168.222.218,CentOS 8,2,32,100,maintenance,276
28,server-0028,192.168.124.22,Debian 12,8,32,1000,maintenance,280
29,server-0029,192.168.29.17,Windows Server 2022,32,16,100,online,176
30,server-0030,192.168.237.214,CentOS 8,4,4,1000,online,84
31,server-0031,192.168.129.77,CentOS 8,4,32,1000,offline,144
32,server-0032,192.168.35.134,Debian 12,16,16,100,maintenance,303
33,server-0033,192.168.203.45,Ubuntu 22.04,4,8,100,maintenance,28
34,server-0034,192.168.36.80,Ubuntu 22.04,4,32,100,online,191
35,server-0035,192.168.190.172,Ubuntu 22.04,8,4,100,offline,153
36,server-0036,192.168.245.231,Ubuntu 22.04,4,4,2000,offline,253
37,server-0037,192.168.109.50,Windows Server 2022,16,4,2000,offline,123
38,server-0038,192.168.251.252,Debian 12,32,4,2000,maintenance,168
39,server-0039,192.168.231.186,Ubuntu 22.04,2,64,100,online,50
40,server-0040,192.168.60.80,Windows Server 2022,32,4,100,offline,333
41,server-0041,192.168.50.74,Debian 12,4,32,100,online,293
42,server-0042,192.168.254.79,Windows Server 2022,4,4,2000,online,356
43,server-0043,192.168.12.137,Debian 12,8,4,500,online,174
44,server-0044,192.168.244.104,CentOS 8,2,32,1000,maintenance,170
45,server-0045,192.168.135.59,Windows Server 2022,2,8,1000,online,49
46,server-0046,192.168.100.216,Debian 12,2,32,2000,offline,238
47,server-0047,192.168.5.159,Ubuntu 22.04,32,64,2000,offline,257
48,server-0048,192.168.59.25,Windows Server 2022,8,32,500,online,183
49,server-0049,192.168.165.76,Debian 12,16,8,1000,offline,49
50,server-0050,192.168.135.197,Windows Server 2022,32,64,1000,maintenance,34
51,server-0051,192.168.152.196,CentOS 8,32,32,100,maintenance,21
52,server-0052,192.168.104.68,CentOS 8,2,64,500,maintenance,160
53,server-0053,192.168.103.70,Debian 12,16,4,1000,maintenance,177
54,server-0054,192.168.238.53,CentOS 8,32,8,100,maintenance,193
55,server-0055,192.168.138.82,Windows Server 2022,4,64,100,online,107
56,server-0056,192.168.58.7,Ubuntu 22.04,4,16,1000,offline,167
57,server-0057,192.168.45.43,CentOS 8,2,64,100,offline,318
58,server-0058,192.168.223.203,Ubuntu 22.04,4,64,100,online,109
59,server-0059,192.168.167.201,CentOS 8,4,4,2000,maintenance,184
